titolo,titolo_en,indovinello,indovinello_en,risposta_corretta,risposta_corretta_en,risposte_alternative,risposte_alternative_en,suggerimento,suggerimento_en,difficolta,luogo_id,immagine_url,approfondimento,approfondimento_en,associazione,link_associazione,id,created_date,updated_date,created_by_id,created_by,is_sample
"Condivisione a mille","","A Palermo c'è un'associazione con il nome un po' italiano e un po' tedesco che fa cose, vede gente. Puoi trovarla nascosta in un cortile di un edificio importante ma per entare dovrai citofonare. Quale numero serve per citofonare?","","43","","[""43+campanello"",""quarantatre"",""33"",""32""]","[]","Cerca il coworking di Palazzo Castrofilippo","","difficile","6932a2a1b7d9f92a1bc07c6a","","neu [nòi] è un'associazione e uno spazio di coworking nato nel gennaio 2012 nel cuore della Kalsa, con l'obiettivo di trasformare il modo di lavorare a Palermo. Non è un semplice ufficio condiviso, ma una comunità di professionisti, creativi e artigiani digitali che credono nella collaborazione e nello scambio di competenze. Il nome ""neu"" richiama il concetto di ""nuovo"" e la particella tedesca per ""noi"", sottolineando l'importanza della collettività.

Oltre a offrire scrivanie e laboratori, neu [nòi] è un incubatore di progetti sociali e culturali, tra cui questo che stai facendo. È tra i principali promotori del progetto Orbita, mettendo a disposizione la propria esperienza nella gestione degli spazi per restituire beni comuni alla cittadinanza. Attraverso il coworking, neu [nòi] dimostra che anche in un quartiere storico e complesso come la Kalsa è possibile costruire un'economia moderna, sostenibile e basata sulle relazioni umane, contrastando l'isolamento lavorativo e la fuga dei cervelli dalla Sicilia.","","","","693d91c277a9cdc9f96c5312","2025-12-13T16:18:10.102000","2025-12-13T16:18:10.102000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Sinonimi di libertà","","Non devi andare in via ""bene"", ma è quasi al suo opposto. Mentre la percorri vedrai aprirsi una piccola piazza in cui si può trovare un luogo il cui nome inneggia alla libertà. Qual è il suo nome?","","Stato Brado","","[]","[]","Trovi il nome su un grande portale di legno di Piazzetta Resuttana","","media","6932a2a1b7d9f92a1bc07c6a","","""Luogo per le libere associazioni, terra di migrazioni di idee, di approdi e di scambi. Oltre il portone dei locali che furono della servitù del principe di Resuttano si apre un nuovo spazio di ideazione e partecipazione. Lo Stato Brado è un’identità comune, una tecnica di azione, condivisa da due associazioni:

H.R.Y.O. - Human Rights Youth Organization, nata nel 2009 per lo sviluppo di iniziative culturali, per una migliore promozione dei diritti civili.

Maghweb, collettivo di comunicazione comunitaria è un’associazione di promozione sociale che si occupa prevalentemente di informazione per il terzo settore.

Lo Stato Brado raccoglie e ospita le scelte libere fatte dai professionisti che ci lavorano, tutti fuoriusciti dalle traiettorie tradizionali:  educatori per i diritti umani venuti da lontano e attivisti per il cambiamento di fenomeni culturali duri da stravolgere, giornalisti invisi ai media e anche a loro stessi, comunicatori pedanti e innamorati, illustratori di favole, grafici, smanettoni del web dall’animo “all’antica”..""","","","","693d61a1fb54f8798c4baf8e","2025-12-13T12:52:49.905000","2025-12-13T15:26:41.060000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Le teste cattive","","All'ingresso delle Mura delle Cattive, accanto a Porta Felice, due grandi colonne sorreggono la scalinata. Su ogni colonna ci sono delle teste di donna che reggono fiori. Quante teste per colonna?","","quattro","","[""4"",""IV""]","[]","Cerca Porta Felice lungo il bastione verso il mare. Le colonne della scalinata hanno cariatidi in cima, contale!","","facile","6932a2a1b7d9f92a1bc07c6a","","Le mura delle cattive sono una magnifica terrazza panoramica. Edificata sui bastioni spagnoli nel 1813, deve il suo nome curioso a un’usanza dell’epoca. Il termine ""Cattive"" deriva dal latino captivae (prigioniere): si riferiva alle vedove, che la società del tempo considerava ""prigioniere del dolore"". Poiché non era ritenuto decoroso che passeggiassero mescolandosi alla folla durante il lutto, per loro venne riservata questa passeggiata sopraelevata e appartata, dove potevano prendere aria senza essere troppo esposte allo sguardo pubblico. L'ingresso è segnato da un’imponente scalinata con colonne in stile neoclassico sormontate da cariatidi che reggono ceste di fiori. Oggi, lontano da quell'aura di malinconia, le ""Cattive"" sono uno dei luoghi più romantici di Palermo, offrendo una vista privilegiata sul Foro Italico e sul porticciolo della Cala.","","","","693d3cb41f3b08543deaec0b","2025-12-13T10:15:16.590000","2025-12-13T15:42:42.129000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Citofoni medievali","","Cerca la sede dell'Officina Studi Medievali, è un po' nascosta ma sul suo cancello c'è un citofono. Quale parola è scritta nel campanello che fa pensare al cibo?
","","cucina","","[""Cucina"",""CUCINA""]","[]","Cerca il convento francescano con la biblioteca. Il citofono digitale è all'ingresso, guarda l'angolo superiore sinistro!","","facile","6932a2a1b7d9f92a1bc07c6a","","L’Officina di Studi Medievali (OSM) è un ente di ricerca scientifica fondato nel 1980, diventato un punto di riferimento internazionale per la cultura del Medioevo. La sua sede nel Convento di San Francesco alla Kalsa non è casuale: l'OSM lavora proprio per valorizzare la Sicilia come ponte tra Oriente e Occidente, studiando le radici comuni tra le diverse civiltà del Mediterraneo. Gestisce una biblioteca specialistica monumentale e la casa editrice ""Officina di Studi Medievali"", che pubblica opere fondamentali per la filosofia e la storia medievale.","","Officina di Studi Medievali","http://www.officinadistudimedievali.it","693d3cb41f3b08543deaec10","2025-12-13T10:15:16.590000","2025-12-13T15:49:08.631000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"L'Insegna dei Farmaci","","In Via Vetriera cerca la casa di Paolo, in che tipo di attività commerciale storica si trova?","","farmacia","","[]","[]","Leggi l'insegna sopra la targa commemorativa.","","facile","6932a2a1b7d9f92a1bc07c6a","","La ""Casa di Paolo"" sorge nei locali dell'ex farmacia di famiglia dei Borsellino, in Via Vetriera, esattamente dove il magistrato nacque e crebbe. Inaugurata nel 2015 per volere del fratello Salvatore Borsellino, l'associazione ha l'obiettivo di sottrarre i ragazzi del quartiere alla strada e alla manovalanza mafiosa, offrendo loro doposcuola, laboratori informatici e spazi di aggregazione. Salvatore Borsellino ha spesso dichiarato che non voleva un museo polveroso, ma un luogo ""vivo"", dove Paolo potesse continuare a camminare sulle gambe di altri giovani. La farmacia storica, un tempo gestita dal padre del giudice, è oggi un presidio di legalità nel cuore della Kalsa, dimostrando che la memoria non è solo ricordo, ma azione quotidiana per il futuro del territorio.","","Casa di Paolo","","693d3cb41f3b08543deaec13","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Il pallino sulla T","","In Via Alloro 95 è nata Orbita. Il logo davanti all'ingresso ha dei pallini colorati sopra le lettere. Che colore ha il pallino sopra la lettera T?","","rosso","","[""red""]","[]","Cerca Orbita al 95 di Via Alloro. Guarda il logo all'ingresso e trova la lettera T!","","facile","6932a2a1b7d9f92a1bc07c6a","","Orbita, ospitata nell'ex Museo della Scuola in Via Alloro, è la prima Casa della Partecipazione di Palermo. Non è solo un edificio recuperato dopo 12 anni di abbandono, ma il primo esperimento concreto di """"gestione condivisa"""": un patto tra il Comune e quattro associazioni (neu[nòi], Sguardi Urbani, Idea e Azione e Teatro Atlante). Il nome scelto non è casuale: l'orbita rappresenta un movimento continuo e un """"campo gravitazionale"""" dove ogni cittadino può trovare la propria traiettoria senza restare isolato.  Il progetto introduce concetti come la """"Do-crazia"""" (il potere di fare insieme) e la giustizia riparativa: qui, persone che seguono percorsi giudiziari partecipano alla cura del bene comune, trasformando il riscatto personale in beneficio per il quartiere secondo il motto: """"La cura della città è cura di sé"""". Orbita offre servizi reali come doposcuola, sportelli per famiglie e laboratori, ma la sua vera missione è essere un """"innesco"""" di rigenerazione: un luogo dove s'impara a dialogare senza confliggere per trovare soluzioni concrete ai bisogni della Kalsa, dimostrando che dalle ferite della città possono nascere opportunità nuove.","","Orbita","","693d3cb41f3b08543deaec0e","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Guardiani Rosa","","Dietro l'abside della Chiesa della Magione, guarda in alto verso l'edificio a sinistra. Che uccelli vedi in cima?","","fenicotteri","","[""fenicottero"",""flamingo""]","[]","Sono uccelli rosa, spesso raffigurati su una zampa sola.","","facile","6932a2a1b7d9f92a1bc07c6a","","Questi eleganti fenicotteri rosa, che spuntano su un terrazzo privato della Magione, sono un invito alla ""meraviglia del dettaglio"". Non sono un reperto storico, ma il gesto di un cittadino che ha scelto di abbellire il proprio spazio regalando un sorriso a chi passa per strada. Palermo è una città che si svela a chi sa aguzzare lo sguardo: la bellezza della Kalsa non risiede solo nelle sue chiese millenarie, ma anche nella cura con cui i suoi abitanti decorano i balconi, curano piccole piante rigogliose o posizionano oggetti inaspettati. Questo ""museo a cielo aperto"" fatto di piccoli gesti quotidiani è ciò che rende il quartiere vivo e vibrante: ogni pianta curata e ogni decoro bizzarro sono un atto d'amore verso la propria città.","","","","693d3cb41f3b08543deaec16","2025-12-13T10:15:16.590000","2025-12-13T10:15:16.590000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Frutta urbana","","Di fronte al Palazzo Galletti di S. Cataldo cresce un tipo albero molto usato a Palermo per il decoro urbano. Che tipo di albero è?","","arancio amaro","","[""arance amare"",""aranci amari"",""arancia amara""]","[]","Guarda gli alberi ornamentali nel marciapiede davanti al palazzo.","","media","6932a2a1b7d9f92a1bc07c6a","","L'arancio amaro, introdotto in Sicilia dagli Arabi intorno al X secolo, è l'antenato di tutti gli agrumi moderni. A Palermo viene chiamato ""arancio forte"" o ""selvatico"" ed è stato scelto per secoli come albero ornamentale urbano per tre motivi precisi: la straordinaria resistenza all'inquinamento, il verde perenne delle sue foglie e, soprattutto, l'intensità della sua ""zagara"" (il fiore d'arancio), che in primavera profuma interi quartieri. I suoi frutti, sebbene bellissimi, sono troppo aspri per essere consumati freschi, il che li rende perfetti per l'arredo pubblico poiché scoraggiano il furto. Tuttavia, la loro buccia ricca di oli essenziali è preziosissima: storicamente veniva usata per produrre marmellate pregiate, liquori (come il Curacao) e profumi. Trovarli davanti a un palazzo nobiliare come Palazzo Galletti ricorda l'antica tradizione dei ""giardini di delizia"" che un tempo occupavano gran parte della Kalsa.","","","","693d3cb41f3b08543deaec14","2025-12-13T10:15:16.590000","2025-12-13T15:53:47.845000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"Il palchetto del Foro","","Lungo il Foro Italico, all'angolo con Via Alloro, c'è un edificio su colonne su un basamento. Come si chiama?","","Palchetto della Musica","","[""palchetto musica"",""chiosco della musica""]","[]","È una struttura Liberty bianca circolare affacciata sul mare.","","facile","6932a2a1b7d9f92a1bc07c6a","","Progettato nel 1844 dall'architetto Domenico Lo Faso Pietrasanta e successivamente perfezionato con eleganti ringhiere in ferro battuto, il Palchetto della Musica era il cuore mondano del Foro Italico. In questo ""salotto a cielo aperto"", l'élite palermitana si riuniva per ascoltare i concerti bandistici che allietavano le passeggiate serali di fronte al mare. La sua struttura circolare, con colonne corinzie e una cupola finemente decorata, è uno degli esempi più raffinati di architettura neoclassica e Liberty della città. Fu fortemente voluto dal Senato palermitano e sostenuto dai Florio, che desideravano offrire alla cittadinanza un luogo di alta cultura musicale. Ancora oggi, la sua presenza elegante ci ricorda il periodo in cui Palermo era una capitale internazionale dell’arte e dell’eleganza, capace di trasformare una semplice passeggiata marina in un evento sociale e culturale.","","","","693d3cb41f3b08543deaec1a","2025-12-13T10:15:16.590000","2025-12-13T15:58:15.565000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
"L'altitudine della Kalsa","","Se percorri via Alloro, in una traversa a pochi metri da te c'è una targa che indica l'altitudine di Palermo in quel punto. Quale numero è scritto sulla targa?
","","9,906","","[""9906"",""9.906"",""9"",""90""]","[]","L'angolo è proprio dove le due vie si incontrano. La targa è affissa lì, cerca il numero dell'altitudine!","","facile","6932a2a1b7d9f92a1bc07c6a","","Il numero 9,906 ci dice che siamo a meno di dieci metri sopra il livello del mare, un dato che spiega l'intera storia della Kalsa. Anticamente, il mare penetrava molto più profondamente nell'entroterra attraverso due bracci che cingevano il nucleo originario della città (chiamata dai Fenici Ziz, ""il fiore"", e dai Greci Panormos, ""tutto porto""). La Kalsa, il cui nome deriva dall'arabo Al-Khalisa (""l'Eletta""), fu fondata nel 937 dagli Arabi come cittadella fortificata separata dal resto della città proprio per la sua vicinanza strategica al porto. Dove oggi camminiamo, un tempo si infrangevano le onde: l'attuale Via Alloro era una delle strade principali che portavano direttamente alle mura difensive sul mare. La targa che vedi è un punto di riferimento tecnico, ma per noi è un promemoria di come Palermo sia nata dall'acqua e di come la Kalsa sia stata, per secoli, la porta d'ingresso della Sicilia per chi arrivava dal Mediterraneo.","","","","693d3cb41f3b08543deaec0c","2025-12-13T10:15:16.590000","2025-12-13T15:45:17.850000","69320bf85b55b43ec54a157a","michelangelopavia@gmail.com","false"
